17:6:30.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9411N, 112.4591, W, Speed (knots): , 71.26, Angle: 77.14, Altitude: 14697.30, Satellites: 10
17:6:32.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9411N, 112.4580, W, Speed (knots): , 74.94, Angle: 84.48, Altitude: 14654.70, Satellites: 10
17:6:34.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9413N, 112.4570, W, Speed (knots): , 74.40, Angle: 79.24, Altitude: 14613.00, Satellites: 10
17:6:36.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9414N, 112.4560, W, Speed (knots): , 71.61, Angle: 77.58, Altitude: 14571.10, Satellites: 10
17:6:39.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9416N, 112.4545, W, Speed (knots): , 77.20, Angle: 78.19, Altitude: 14514.40, Satellites: 10
17:6:40.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9417N, 112.4536, W, Speed (knots): , 75.17, Angle: 79.42, Altitude: 14476.00, Satellites: 10
17:6:43.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9417N, 112.4526, W, Speed (knots): , 66.60, Angle: 84.22, Altitude: 14437.40, Satellites: 10
17:6:46.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9419N, 112.4512, W, Speed (knots): , 73.10, Angle: 79.01, Altitude: 14378.00, Satellites: 10
17:6:48.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9420N, 112.4503, W, Speed (knots): , 72.45, Angle: 73.62, Altitude: 14336.60, Satellites: 10
17:6:50.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9421N, 112.4493, W, Speed (knots): , 75.33, Angle: 86.32, Altitude: 14295.90, Satellites: 10
17:6:52.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9422N, 112.4478, W, Speed (knots): , 76.98, Angle: 79.69, Altitude: 14235.70, Satellites: 10
17:6:55.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9422N, 112.4467, W, Speed (knots): , 79.30, Angle: 81.74, Altitude: 14195.50, Satellites: 10
17:6:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9423N, 112.4450, W, Speed (knots): , 86.78, Angle: 86.56, Altitude: 14135.70, Satellites: 10
17:7:0.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9424N, 112.4438, W, Speed (knots): , 89.38, Angle: 85.13, Altitude: 14096.80, Satellites: 10
