time, Longitude, Longitude, Speed(Kn), Angle(°), Altatude(m),,,,
8:15:52 AM,43.8399,-112.2548,0,261.54,1508,,,,
8:15:55 AM,43.8399,-112.2548,0.01,77.47,1508,,,,
8:15:58 AM,43.8399,-112.2548,0.01,98.58,1508,,,,
8:16:00 AM,43.8399,-112.2548,0.01,158.08,1508,,,,
8:16:02 AM,43.8399,-112.2548,0,64.84,1508,,,,
6:16:04 PM,43.8399,-112.2548,0.01,0.1,1508,,,,
8:16:07 AM,43.8399,-112.2548,0,214.09,1508,,,,
8:16:09 AM,43.8399,-112.2548,0.01,2.28,1507.9,,,,
8:16:11 AM,43.8398,-112.2548,0.03,22.11,1507.6,,,,
8:16:13 AM,43.8398,-112.2548,0.02,144.73,1507.4,,,,
8:16:16 AM,43.8398,-112.2548,0.02,45.62,1507.2,,,,
8:16:18 AM,43.8398,-112.2548,0.01,260.4,1507.1,,,,
8:16:20 AM,43.8398,-112.2548,0.02,6.39,1507.1,,,,
8:16:23 AM,43.8398,-112.2548,0.01,255.91,1507.1,,,,
8:16:25 AM,43.8398,-112.2548,0.03,301.68,1507.1,,,,
6:16:28 PM,43.8398,-112.2548,0.02,49.91,1507.1,,,,
8:16:30 AM,43.8398,-112.2548,0.04,26.23,1507,,,,
8:16:32 AM,43.8398,-112.2548,0.24,273.27,1507.1,,,,
8:16:34 AM,43.8398,-112.2548,0.04,47.87,1507,,,,
8:16:36 AM,43.8398,-112.2548,0.31,57.58,1507,,,,
8:16:39 AM,43.8398,-112.2548,0.05,66.64,1507,,,,
8:16:41 AM,43.8398,-112.2548,0.05,112.51,1507,,,,
8:16:43 AM,43.8398,-112.2548,0.03,249.97,1507,,,,
8:16:45 AM,43.8398,-112.2548,0.01,5.71,1507,,,,
8:16:47 AM,43.8398,-112.2548,0.02,199.09,1507,,,,
8:16:50 AM,43.8398,-112.2548,0.01,178.51,1507,,,,
8:16:52 AM,43.8398,-112.2548,0.02,275.18,1507,,,,
8:16:54 AM,43.8398,-112.2548,0.01,110.78,1507,,,,
8:16:57 AM,43.8398,-112.2548,0.01,59.94,1507,,,,
8:16:59 AM,43.8398,-112.2548,0.01,4.92,1507,,,,
6:17:01 PM,43.8398,-112.2548,0.01,287.89,1507,,,,
6:17:04 PM,43.8398,-112.2548,0.01,153.47,1507,,,,
8:17:06 AM,43.8398,-112.2548,0.02,109.6,1507,,,,
8:17:08 AM,43.8398,-112.2548,0,325.35,1507,,,,
8:17:11 AM,43.8398,-112.2548,0.01,69.63,1507,,,,
8:17:13 AM,43.8398,-112.2548,0.02,274,1507,,,,
6:17:15 PM,43.8398,-112.2548,0.01,218.03,1507,,,,
8:17:17 AM,43.8398,-112.2548,0.02,131.57,1507,,,,
8:17:20 AM,43.8398,-112.2548,0.02,116.92,1507,,,,
8:17:22 AM,43.8398,-112.2548,0.03,90.48,1507,,,,
8:17:24 AM,43.8398,-112.2548,0.01,191.23,1507,,,,
8:17:26 AM,43.8398,-112.2548,0,42.33,1507,,,,
8:17:28 AM,43.8398,-112.2548,0.01,344.37,1507,,,,
8:17:31 AM,43.8398,-112.2548,0,124.28,1507,,,,
8:17:33 AM,43.8398,-112.2548,0.02,21.37,1507,,,,
8:17:35 AM,43.8398,-112.2548,0.02,271.67,1507,,,,
8:17:37 AM,43.8398,-112.2548,0.07,175.61,1507,,,,
8:17:39 AM,43.8398,-112.2548,0,163.95,1507,,,,
8:17:41 AM,43.8398,-112.2548,0.01,110.99,1507,,,,
8:17:43 AM,43.8398,-112.2548,0.01,31.06,1507,,,,
8:17:46 AM,43.8398,-112.2548,0.01,11.51,1507.1,,,,
8:17:48 AM,43.8398,-112.2548,0.02,288.99,1507.1,,,,
8:17:50 AM,43.8398,-112.2548,0,125.87,1507.1,,,,
8:17:53 AM,43.8398,-112.2548,0.01,137.96,1507.1,,,,
8:17:55 AM,43.8398,-112.2548,0.01,137.36,1507.1,,,,
8:17:57 AM,43.8398,-112.2548,0,189.2,1507.1,,,,
6:17:59 PM,43.8398,-112.2548,0.02,79.39,1507.1,,,,
8:18:02 AM,43.8398,-112.2548,0,18.98,1507.1,,,,
8:18:04 AM,43.8398,-112.2548,0.01,328.72,1507.1,,,,
6:18:06 PM,43.8398,-112.2548,0.01,341.83,1507.1,,,,
8:18:11 AM,43.8398,-112.2548,0.02,236.27,1507.1,,,,
8:18:13 AM,43.8398,-112.2548,0.02,222.61,1507.1,,,,
8:18:16 AM,43.8398,-112.2548,0.02,122.65,1507.1,,,,
8:18:18 AM,43.8398,-112.2548,0.02,39.64,1507.1,,,,
8:18:20 AM,43.8398,-112.2548,0.01,322.98,1507.1,,,,
8:18:23 AM,43.8398,-112.2548,0.01,312.5,1507.1,,,,
8:18:25 AM,43.8398,-112.2548,0.01,209.88,1507.1,,,,
8:18:27 AM,43.8398,-112.2548,0.02,139.12,1507.1,,,,
8:18:29 AM,43.8398,-112.2548,0.01,34.59,1507.1,,,,
8:18:31 AM,43.8398,-112.2548,0.01,300.85,1507.1,,,,
8:18:33 AM,43.8398,-112.2548,0.01,316.65,1507.1,,,,
8:18:36 AM,43.8398,-112.2548,0,192.96,1507.1,,,,
8:18:38 AM,43.8398,-112.2548,0.02,151.68,1507.1,,,,
8:18:40 AM,43.8398,-112.2548,0.01,143.15,1507.1,,,,
8:18:42 AM,43.8398,-112.2548,0.01,140.16,1507.1,,,,
8:18:44 AM,43.8398,-112.2548,0.01,292.7,1507.1,,,,
8:18:47 AM,43.8398,-112.2548,0.02,311.43,1507.1,,,,
8:18:49 AM,43.8398,-112.2548,0,195.87,1507.1,,,,
8:18:51 AM,43.8398,-112.2548,0,83.39,1507.1,,,,
6:18:54 PM,43.8398,-112.2548,0.02,116.47,1507.1,,,,
8:18:56 AM,43.8398,-112.2548,0.02,241.03,1507.1,,,,
8:18:58 AM,43.8398,-112.2548,0.01,267.99,1507.1,,,,
6:19:01 PM,43.8398,-112.2548,0.01,189.37,1507.1,,,,
8:19:03 AM,43.8398,-112.2548,0.01,202.68,1507.1,,,,
6:19:06 PM,43.8398,-112.2548,0.03,231.93,1507.1,,,,
8:19:08 AM,43.8398,-112.2548,0.02,202.6,1507.1,,,,
8:19:10 AM,43.8398,-112.2548,0.02,242.64,1507.1,,,,
8:19:12 AM,43.8398,-112.2548,0,185.95,1507.1,,,,
8:19:15 AM,43.8398,-112.2548,0.01,118.59,1507.1,,,,
6:19:17 PM,43.8398,-112.2548,0.01,192.09,1507.1,,,,
6:19:19 PM,43.8398,-112.2548,0.01,14.89,1507.1,,,,
8:19:21 AM,43.8398,-112.2548,0.03,298.34,1507.1,,,,
6:19:24 PM,43.8398,-112.2548,0.02,231.74,1507.1,,,,
8:19:26 AM,43.8398,-112.2548,0.01,264.09,1507.1,,,,
8:19:28 AM,43.8398,-112.2548,0.01,238.75,1507.1,,,,
8:19:31 AM,43.8398,-112.2548,0.01,18.79,1507.1,,,,
6:19:33 PM,43.8398,-112.2548,0.01,244.65,1507.1,,,,
8:19:35 AM,43.8398,-112.2548,0.02,339.77,1507.1,,,,
8:19:38 AM,43.8398,-112.2548,0.02,54.73,1507.1,,,,
8:19:40 AM,43.8398,-112.2548,0.01,309.28,1507.1,,,,
8:19:42 AM,43.8398,-112.2548,0.04,319.92,1507.1,,,,
8:19:45 AM,43.8398,-112.2548,0.02,93.83,1507.1,,,,
8:19:47 AM,43.8398,-112.2548,0.04,344.94,1507.1,,,,
8:19:49 AM,43.8398,-112.2548,0.02,210.04,1507.1,,,,
8:19:52 AM,43.8398,-112.2548,0.03,264,1507.1,,,,
6:19:54 PM,43.8398,-112.2548,0.01,127.93,1507.1,,,,
8:19:56 AM,43.8398,-112.2548,0.03,150.74,1507.1,,,,
8:19:59 AM,43.8398,-112.2548,0.03,123.17,1507.1,,,,
6:20:01 PM,43.8398,-112.2548,0.03,17.35,1507.1,,,,
8:20:04 AM,43.8398,-112.2548,0,353.57,1507.1,,,,
